"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.052436511E0,5.377554893E-1,9.526207924E0,1.971737027E0
5.069102448E0,3.771649897E-1,9.833945274E0,1.087317467E0
5.085768386E0,3.232219219E-1,9.845820427E0,6.820030808E-1
5.102434323E0,1.421584468E-2,1.003290176E1,1.346494317E0
5.119100261E0,-1.179457083E-1,1.007219601E1,2.172750473E0
5.135766198E0,-1.696110964E-1,1.003797626E1,2.290362597E0
5.152432136E0,-2.744319439E-1,9.974937439E0,1.793460846E0
5.169098073E0,-2.322076410E-1,9.617449760E0,1.895453572E0
5.185764011E0,-2.406738847E-1,9.098856926E0,1.910390019E0
5.202429948E0,-2.313483506E-1,8.741042137E0,1.621027112E0
5.219095886E0,-1.114916727E-1,8.775421143E0,1.536520958E0
5.235761823E0,2.445769459E-1,9.094088554E0,1.787411809E0
5.252427761E0,3.947602808E-1,9.590039253E0,2.310415983E0
5.269093698E0,5.881877542E-1,9.803115845E0,2.903364897E0
5.285759636E0,6.036061645E-1,9.523768425E0,2.590980530E0
5.302425573E0,5.985031724E-1,9.227061272E0,1.722497463E0
5.319091511E0,6.052164435E-1,9.293193817E0,1.323169589E0
5.335757448E0,-3.324546292E-2,9.919222832E0,9.742973447E-1
5.352423386E0,-2.518354356E-1,1.036070251E1,1.162101388E0
5.369089323E0,9.319689274E-1,1.038804531E1,3.825185776E0
5.385755261E0,1.623674989E0,9.715973854E0,4.087578297E0
5.402421198E0,1.418056965E0,8.910779953E0,2.310330868E0
5.419087136E0,8.908341527E-1,8.467058182E0,8.456842303E-1
5.435753073E0,5.622243285E-1,8.695324898E0,4.804164469E-1
5.452419011E0,2.112856358E-1,9.475283623E0,1.186657548E0
5.469084948E0,5.004403647E-3,9.918450356E0,1.979553223E0
5.485750886E0,3.268122971E-1,1.015163422E1,1.997900963E0
5.502416823E0,4.211380780E-1,1.050788593E1,1.660761714E0
5.519082761E0,3.986837566E-1,1.088206768E1,1.673480630E0
5.535748698E0,8.723366261E-1,1.078204632E1,2.054119825E0
5.552414636E0,1.433537483E0,1.057594395E1,2.333204031E0
5.569080573E0,1.459065914E0,1.047543812E1,2.462291956E0
5.585746511E0,1.262436986E0,1.062521267E1,2.610798120E0
5.602412448E0,1.468296409E0,1.072526550E1,2.266613960E0
5.619078386E0,1.510872006E0,1.141176128E1,1.317149282E0
5.635744323E0,9.864352345E-1,1.265913773E1,8.365581632E-1
5.652410261E0,1.845814586E-1,1.375807571E1,1.202329993E0
5.669076198E0,3.288494423E-2,1.402042294E1,1.856041908E0
5.685742136E0,2.749685347E-1,1.297236633E1,2.703617811E0
5.702408073E0,4.666121304E-1,1.140026569E1,2.244797945E0
5.719074011E0,-8.128275163E-3,1.032669163E1,1.601894975E0
5.735739948E0,-1.146660805E0,1.007717514E1,2.918641090E0
5.752405886E0,-2.336977959E0,9.959069252E0,5.032871723E0
5.769071823E0,-3.362562895E0,1.019475937E1,5.007814407E0
5.785737761E0,-2.847730398E0,1.035717010E1,3.827552557E0
5.802403698E0,-1.046495557E0,9.967862129E0,3.542824745E0
5.819069636E0,2.370738834E-1,9.804448128E0,3.670971632E0
5.835735573E0,2.863415778E-1,1.035852909E1,2.921465158E0
5.852401511E0,6.369213462E-1,1.040633106E1,1.829082847E0
5.869067448E0,6.623039842E-1,9.815174103E0,1.297541261E0
5.885733386E0,2.665580213E-1,9.216382027E0,1.716857314E0
5.902399323E0,6.596571803E-1,8.394670486E0,4.175246716E0
5.919065261E0,1.653810859E0,7.571096897E0,8.870360374E0
5.935731198E0,5.292403698E-1,7.094309330E0,1.073912144E1
5.952397136E0,-1.865484238E0,7.572611332E0,5.963305950E0
5.969063073E0,-1.812886715E0,7.551231384E0,2.453724623E0
5.985729011E0,-6.992496848E-1,7.666034698E0,1.944451332E0
6.002394948E0,1.263582855E-1,8.042880058E0,3.262276411E0
6.019060886E0,4.036741555E-1,8.486449242E0,5.681807041E0
6.035726823E0,6.734814644E-1,8.316635132E0,7.104911804E0
6.052392761E0,6.110850573E-1,7.462989330E0,7.229547501E0
6.069058698E0,6.607089043E-1,6.652320862E0,6.949302673E0
6.085724636E0,1.128172040E0,6.280105114E0,5.931081772E0
6.102390573E0,1.488840580E0,6.007389069E0,5.257125378E0
6.119056511E0,1.574530602E0,5.922384739E0,5.175391674E0
6.135722448E0,1.746330261E0,5.998352051E0,5.560196400E0
6.152388386E0,1.936026931E0,6.021289349E0,6.087861538E0
6.169054323E0,1.973196387E0,5.948820591E0,6.611566544E0
6.185720261E0,1.405286670E0,5.785365582E0,6.625998974E0
