"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.669119948E0,3.741517365E-1,2.505832314E-1,-1.362428665E-1
4.685785886E0,3.403065205E-1,2.757303119E-1,-1.440173984E-1
4.702451823E0,2.725144923E-1,1.549467593E-1,-1.625767350E-1
4.719117761E0,2.248412967E-1,7.991293818E-2,-1.663230360E-1
4.735783698E0,2.135445774E-1,2.075259835E-1,-9.889870137E-2
4.752449636E0,2.613744736E-1,3.577797115E-1,3.939187527E-2
4.769115573E0,3.370983899E-1,3.208507895E-1,1.286019683E-1
4.785781511E0,4.346997738E-1,1.356875002E-1,1.697149277E-1
4.802447448E0,5.259241462E-1,-1.275345087E-1,2.315918207E-1
4.819113386E0,5.307797790E-1,-4.283024669E-1,2.414646745E-1
4.835779323E0,3.756212592E-1,-6.802704334E-1,1.842436194E-1
4.852445261E0,2.000102401E-1,-7.494611740E-1,9.968334436E-2
4.869111198E0,1.483346969E-1,-5.877074599E-1,4.163118452E-2
4.885777136E0,1.724091470E-1,-3.226069212E-1,4.589384049E-2
4.902443073E0,1.991104484E-1,-1.581155956E-1,7.629945874E-2
4.919109011E0,3.279613853E-1,-2.068980783E-1,-5.350690335E-3
4.935774948E0,5.214872360E-1,-7.093120217E-1,-2.212368250E-1
4.952440886E0,3.979317546E-1,-1.526967764E0,-3.746409118E-1
4.969106823E0,-1.713513210E-2,-1.813973188E0,-4.650188088E-1
4.985772761E0,-3.206325173E-1,-1.544436097E0,-4.698125124E-1
5.002438698E0,-2.567037642E-1,-1.101664782E0,-4.290479720E-1
5.019104636E0,1.236845702E-1,-6.376459599E-1,-4.382193685E-1
5.035770573E0,5.644801259E-1,-2.581824064E-1,-4.661176205E-1
5.052436511E0,7.627599835E-1,-4.501510039E-2,-4.587153494E-1
5.069102448E0,6.945464611E-1,1.470579673E-2,-3.855619729E-1
5.085768386E0,5.192747712E-1,3.636096045E-2,-2.779387832E-1
5.102434323E0,4.109002352E-1,5.972921103E-2,-1.624540687E-1
5.119100261E0,4.790824950E-1,8.960237354E-2,-3.801164031E-2
5.135766198E0,6.280462146E-1,9.344799072E-2,4.510599375E-2
5.152432136E0,7.059640288E-1,1.216074526E-1,7.964868844E-2
5.169098073E0,6.598051190E-1,8.612732589E-2,5.370207876E-2
5.185764011E0,6.029688716E-1,2.732946165E-2,-1.960544661E-2
5.202429948E0,5.747918487E-1,1.308455467E-1,-1.006004885E-1
5.219095886E0,5.337891579E-1,2.401238829E-1,-1.763322949E-1
5.235761823E0,4.743903875E-1,2.219872326E-1,-2.645258009E-1
5.252427761E0,4.516687691E-1,1.574245989E-1,-3.373906314E-1
5.269093698E0,4.588382840E-1,8.020168170E-3,-3.583307564E-1
5.285759636E0,4.907753766E-1,-9.208922088E-2,-3.282328248E-1
5.302425573E0,4.935475588E-1,2.643230744E-2,-2.321507931E-1
5.319091511E0,4.748031199E-1,3.013140559E-1,-1.085311994E-1
5.335757448E0,4.554167092E-1,5.974662900E-1,3.258888796E-2
5.352423386E0,3.456219733E-1,7.526867390E-1,2.523231506E-1
5.369089323E0,4.172064364E-1,4.914300442E-1,2.684853077E-1
5.385755261E0,6.564511657E-1,4.692021757E-2,9.513220191E-2
5.402421198E0,7.479918003E-1,-2.209410965E-1,-1.091262028E-1
5.419087136E0,6.233271956E-1,-2.052396387E-1,-2.323787510E-1
5.435753073E0,4.112311602E-1,-5.372814089E-2,-2.806945741E-1
5.452419011E0,2.019177377E-1,-1.186752226E-3,-2.885194123E-1
5.469084948E0,1.244255230E-1,-6.547300518E-2,-2.461566031E-1
5.485750886E0,1.817118824E-1,-8.476571739E-2,-2.115514278E-1
5.502416823E0,2.440367341E-1,3.702107351E-3,-1.950454712E-1
5.519082761E0,2.621743679E-1,1.021959931E-1,-1.460954845E-1
5.535748698E0,2.628896534E-1,1.498018056E-1,-1.180304214E-1
5.552414636E0,2.811580598E-1,1.357863694E-1,-1.823716462E-1
5.569080573E0,2.689236999E-1,8.213583380E-2,-2.770372331E-1
5.585746511E0,1.725626737E-1,-5.345356837E-2,-3.183937669E-1
5.602412448E0,-5.521046743E-2,-2.349434346E-1,-3.423703313E-1
5.619078386E0,-4.080571830E-1,-2.417954952E-1,-3.641969860E-1
5.635744323E0,-8.306230903E-1,4.512245953E-2,-2.971454561E-1
5.652410261E0,-1.221269846E0,3.173726797E-1,-8.280508220E-2
5.669076198E0,-1.651273608E0,3.447721899E-1,1.817120910E-1
5.685742136E0,-2.109867811E0,9.158402681E-2,3.443924487E-1
5.702408073E0,-2.621549129E0,-1.863821447E-1,3.962596357E-1
5.719074011E0,-3.174776554E0,-1.476485282E-1,4.169281423E-1
5.735739948E0,-3.530923605E0,1.565994918E-1,5.703514218E-1
5.752405886E0,-3.347289085E0,5.883671641E-1,8.984208107E-1
5.769071823E0,-2.826392174E0,9.989767671E-1,1.353019357E0
5.785737761E0,-2.398894787E0,9.270465970E-1,1.728818178E0
5.802403698E0,-2.159669399E0,1.667345315E-1,1.754250646E0
5.819069636E0,-1.898841619E0,-1.029157162E0,1.421097636E0
5.835735573E0,-1.470309377E0,-1.571809888E0,1.051766992E0
5.852401511E0,-9.464690685E-1,-9.239459634E-1,7.946537733E-1
5.869067448E0,-4.168579280E-1,5.556693077E-1,6.571577191E-1
5.885733386E0,-1.077600792E-1,1.751603246E0,6.869770288E-1
5.902399323E0,-2.611746639E-2,2.154062986E0,7.579470277E-1
5.919065261E0,2.132223994E-1,1.951586366E0,7.352367640E-1
5.935731198E0,3.952845335E-1,1.008633852E0,7.429134846E-1
5.952397136E0,-2.365060449E-1,1.043664385E-2,9.762948155E-1
5.969063073E0,-1.220074058E0,2.090506405E-1,1.299350262E0
5.985729011E0,-1.875006914E0,1.050504804E0,1.506724477E0
6.002394948E0,-2.147350311E0,1.607481718E0,1.519630551E0
6.019060886E0,-2.089348316E0,1.434554815E0,1.416988492E0
6.035726823E0,-1.741811514E0,6.911347508E-1,1.282625794E0
6.052392761E0,-1.252342343E0,-2.739236876E-2,1.197430730E0
6.069058698E0,-7.972102165E-1,-4.950298965E-1,1.195239782E0
6.085724636E0,-5.621560216E-1,-5.866295695E-1,1.187623382E0
6.102390573E0,-5.902075171E-1,-2.268758863E-1,1.127744079E0
6.119056511E0,-6.724482179E-1,4.179027677E-1,1.086035609E0
6.135722448E0,-6.670074463E-1,9.904198050E-1,1.064911723E0
6.152388386E0,-5.942582488E-1,1.178822875E0,9.835913777E-1
6.169054323E0,-4.566960931E-1,9.466194510E-1,8.150171041E-1
6.185720261E0,-2.495141178E-1,6.887958050E-1,6.193597913E-1
6.202386198E0,-5.881467834E-3,5.023819208E-1,5.176476836E-1
6.219052136E0,1.901658475E-1,1.897197664E-1,5.118445158E-1
6.235718073E0,2.748239040E-1,-1.037837714E-1,5.151863694E-1
6.252384011E0,3.931676745E-1,-1.332551986E-1,4.697569907E-1
6.269049948E0,5.162200332E-1,-4.256458208E-2,4.060783982E-1
6.285715886E0,5.931127667E-1,8.728572726E-2,3.446095884E-1
6.302381823E0,6.812428832E-1,1.347389668E-1,2.401112616E-1
6.319047761E0,8.071536422E-1,1.036174074E-1,1.016973853E-1
6.335713698E0,9.599069953E-1,1.023650244E-1,-3.796287626E-2
6.352379636E0,1.106970072E0,8.454118669E-2,-1.294180751E-1
6.369045573E0,1.189494252E0,-1.145937294E-1,-1.444874406E-1
6.385711511E0,1.044884443E0,-5.194244981E-1,-5.080690980E-2
6.402377448E0,8.128599524E-1,-5.759223104E-1,1.802012324E-1
6.419043386E0,6.613295674E-1,-2.595037520E-1,4.275609851E-1
