"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.463784826E0,-2.624476910E0,-1.520895958E0,-8.143155575E-1
4.480451492E0,-2.340122223E0,-1.485159874E0,-1.084343195E0
4.497118158E0,-2.142536163E0,-1.487032413E0,-9.192471504E-1
4.513784824E0,-1.721162319E0,-1.666476727E0,-1.339423180E0
4.530451490E0,-1.520526648E0,-1.668030262E0,-1.203814030E0
4.547118156E0,-1.026304841E0,-1.394686222E0,-7.029688358E-1
4.563784822E0,-7.022489905E-1,-1.332016945E0,-3.522391319E-1
4.580451488E0,-5.610747337E-1,-1.138237476E0,-2.505946159E-1
4.597118154E0,-5.198062658E-1,-1.020899773E0,-4.298830032E-2
4.613784820E0,-4.482979178E-1,-6.997051239E-1,5.011959076E-1
4.630451486E0,-2.000122070E-1,-4.375190735E-1,9.070081711E-1
4.647118152E0,3.799259663E-2,-4.740858078E-1,1.325377464E0
4.663784818E0,2.209010720E-1,-7.129411697E-1,5.486702919E-1
4.680451484E0,9.045118093E-2,-5.049190521E-1,1.083548069E0
4.697118150E0,9.045118093E-2,-5.049190521E-1,1.083548069E0
4.713784816E0,5.281983614E-1,-2.050065994E-1,1.381699562E0
4.730451482E0,5.166766644E-1,-2.870321274E-1,6.351509094E-1
4.747118148E0,1.616308987E-1,1.128005981E-2,4.683041573E-1
4.763784814E0,2.238313854E-1,4.458150864E-1,7.488107681E-1
4.780451480E0,3.917502165E-1,3.548393250E-1,1.059911251E0
4.797118146E0,-1.838566959E-1,-2.403831482E-2,1.005630493E0
4.813784812E0,-5.164489746E-1,-3.298540115E-1,8.864853382E-1
4.830451478E0,-1.095887184E0,6.349306107E-1,-4.662728310E-2
4.847118144E0,-1.494229555E0,1.630612373E0,-2.691020966E-1
4.863784810E0,-2.119233370E0,2.555391312E0,2.018983364E-1
4.880451476E0,-2.388587952E0,2.846280098E0,1.157684326E-1
4.897118142E0,-2.658700228E0,3.436110497E0,-3.823168278E-1
4.913784808E0,-2.279383421E0,3.420273781E0,-1.323735714E-1
4.930451474E0,-9.203964472E-1,2.269338608E0,1.181891203E0
4.947118140E0,-9.380759001E-1,5.905132294E-1,9.340262413E-2
4.963784806E0,-7.146323919E-1,-1.179950714E0,-3.764689207E0
4.980451472E0,-9.064722657E-1,-2.174556732E0,-5.098383427E0
4.997118138E0,-1.268702745E0,-2.566361427E0,-3.774684668E0
5.013784804E0,-9.594296217E-1,-2.306825161E0,-2.068689346E0
5.030451470E0,-4.058391154E-1,-1.141922951E0,-3.727898598E-1
5.047118136E0,-1.613550186E-1,-2.903718948E-1,-6.222200394E-1
5.063784802E0,-8.489727974E-2,3.438873291E-1,-1.569168568E0
5.080451468E0,-2.153455913E-1,3.932504654E-1,-2.194229603E0
5.097118134E0,-2.628822625E-1,4.344930649E-1,-2.191779852E0
5.113784800E0,-5.331495404E-1,5.773210526E-1,-1.283955097E0
5.130451466E0,-6.044028401E-1,5.546684265E-1,-4.449119568E-1
5.147118132E0,-6.784590483E-1,4.227247238E-1,-6.449446678E-1
5.163784798E0,-7.298264503E-1,3.331251144E-1,-8.960556984E-1
5.180451464E0,-7.062704563E-1,-2.837028503E-1,-4.364945889E-1
5.197118130E0,-6.994339228E-1,-7.211961746E-1,-6.049326658E-1
5.213784796E0,-6.313409805E-1,-9.701213837E-1,-7.692730427E-1
5.230451462E0,-3.985235989E-1,-7.929735184E-1,-6.248552799E-1
5.247118128E0,6.017947197E-2,-4.209203720E-1,-1.345191002E-1
5.263784794E0,1.498657465E-1,9.834766388E-2,5.292854309E-1
5.280451460E0,4.211752415E-1,-4.110527039E-2,1.003143311E0
5.297118126E0,4.269510508E-1,-3.420667648E-1,3.419198990E-1
5.313784792E0,4.895865917E-1,-5.752058029E-1,-3.784465790E-1
5.330451458E0,4.965915680E-1,-3.749275208E-1,-4.579348564E-1
5.347118124E0,-1.030237317E0,5.629272461E-1,-1.595129728E0
5.363784790E0,5.786440521E-2,6.492710114E-1,5.339683294E-1
5.380451456E0,1.279820442E0,3.771028519E-1,2.914637566E0
5.397118122E0,1.469561934E0,-3.840980530E-1,2.207187176E0
5.413784788E0,1.003979564E0,-1.201350212E0,1.359089613E-1
5.430451454E0,5.942004919E-1,-1.437309265E0,-6.722255349E-1
5.447118120E0,3.522288799E-1,-7.824172974E-1,-4.818603992E-1
5.463784786E0,4.205210879E-2,-1.833229065E-1,3.204518557E-1
5.480451452E0,9.928329289E-2,1.773309708E-1,1.024999261E0
5.497118118E0,4.396916032E-1,3.910322189E-1,7.759100199E-1
5.513784784E0,4.325225949E-1,8.400707245E-1,5.251626968E-1
5.530451450E0,5.235443711E-1,1.055132866E0,7.080290318E-1
5.547118116E0,1.269929528E0,8.015546799E-1,1.253101587E0
5.563784782E0,1.638120651E0,6.325874329E-1,1.431516290E0
5.580451448E0,1.488464117E0,6.210784912E-1,1.652596235E0
5.597118114E0,1.510453224E0,7.896013260E-1,1.689116836E0
